committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00701698,SWALWELL FOR AMERICA,2019,Q2,201907159151136305,F3P,4071620191659583346,23,500061859,1340976,ORG,ORGANIZATION,,,DELTA AIRLINES,ATLANTA,GA,303200980,,,,,TRAVEL EXPENSES,MATERIALS,,,,2019-06-24 00:00:00,452.00,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-07-17 03:45:23.447,4071620191659628942,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201907159151136305,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,Q2,201907159151136435,F3P,4071620191659583346,23,500061855,1340976,ORG,ORGANIZATION,,,HOTELS.COM,DALLAS,TX,75231,,,,,TRAVEL EXPENSES,MATERIALS,,,,2019-06-24 00:00:00,453.44,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-07-17 03:45:25.103,4071620191659629728,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201907159151136435,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,Q2,201907159151136530,F3P,4071620191659583346,23,500059558,1340976,ORG,ORGANIZATION,,,RIVERCITY BUSINESS SERVICES,SACRAMENTO,CA,958413111,,,,,PAYROLL PROCESSING,OTHER,,,,2019-03-01 00:00:00,454.25,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-07-17 03:45:25.169,4071620191659630299,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201907159151136530,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,Q2,201907159151136115,F3P,4071620191659583346,23,500060594,1340976,ORG,ORGANIZATION,,,ACTBLUE TECHNICAL SERVICES,SOMERVILLE,MA,021443132,,,,,CREDIT CARD PROCESSING FEES,OTHER,,,,2019-05-26 00:00:00,456.30,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-07-17 03:45:23.322,4071620191659627804,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201907159151136115,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,Q3,201910159163936779,F3P,4101520191674204872,23,500063658,1357668,ORG,ORGANIZATION,,,DELTA AIRLINES,ATLANTA,GA,303200980,,,,,TRAVEL EXPENSES,MATERIALS,,,,2019-07-05 00:00:00,458.00,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-10-26 03:40:19.246,4102520191675424469,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201910159163936779,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,Q2,201907159151136652,F3P,4071620191659583346,23,500060316,1340976,ORG,ORGANIZATION,,,UNITED AIRLINES,CHICAGO,IL,606660100,,,,,TRAVEL EXPENSES,MATERIALS,,,,2019-05-17 00:00:00,458.30,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-07-17 03:45:25.249,4071620191659631031,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201907159151136652,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,Q2,201907159151136236,F3P,4071620191659583346,23,500059178,1340976,ORG,ORGANIZATION,,,AVIS RENTAL CAR,PARSIPPANY,NJ,070543826,,,,,TRAVEL EXPENSES,MATERIALS,,,,2019-04-17 00:00:00,459.29,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-07-17 03:45:23.401,4071620191659628529,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201907159151136236,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,Q2,201907159151136328,F3P,4071620191659583346,23,500061469,1340976,ORG,ORGANIZATION,,,"ELB PRODUCTIONS, INC.",VENICE,CA,902913935,,,,,VIDEO EDITING,OTHER,,,,2019-06-03 00:00:00,460.00,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-07-17 03:45:23.463,4071620191659629084,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201907159151136328,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,Q3,201910159163936784,F3P,4101520191674204872,23,500063625,1357668,ORG,ORGANIZATION,,,"ELB PRODUCTIONS, INC.",VENICE,CA,902913935,,,,,VIDEO EDITING,OTHER,,,,2019-07-10 00:00:00,460.00,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-10-26 03:40:19.25,4102520191675424499,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201910159163936784,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,Q2,201907159151136234,F3P,4071620191659583346,23,500059172,1340976,ORG,ORGANIZATION,,,AVIS RENTAL CAR,PARSIPPANY,NJ,070543826,,,,,TRAVEL EXPENSES,MATERIALS,,,,2019-04-04 00:00:00,460.46,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-07-17 03:45:23.401,4071620191659628517,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201907159151136234,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,Q2,201907159151136691,F3P,4071620191659583346,23,500063206,1340976,ORG,ORGANIZATION,,,AVIS RENTAL CAR,PARSIPPANY,NJ,070543826,,,,,TRAVEL EXPENSE,MATERIALS,X,,*,2019-06-14 00:00:00,460.48,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-07-17 03:45:25.275,4071620191659631268,,500061661,SB23,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201907159151136691,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
